id,disease,symptoms,herbs_used,precautions,prevention,preparation
3450,Tension Headache,"anxiety, body ache, productive cough, skin rash, sore throat","Amla, Arjuna, Ginger, Turmeric","Avoid alcohol, Ensure adequate sleep","Adequate sleep routine, Daily yoga practice, Seasonal immunity support","Using Amla, Arjuna, Ginger, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
2703,Sleep Disturbance Disorder,"fever, insomnia, nausea","Bibhitaki, Brahmi, Pippali","Avoid alcohol, Ensure adequate sleep, Light and warm diet","Herbal immune boosters, Regular exercise, Stress management","Using Bibhitaki, Brahmi, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
4007,Bronchitis,"dizziness, frequent urination, low energy, shortness of breath","Pippali, Punarnava","Avoid alcohol, Avoid oily food, Avoid spicy food","Herbal immune boosters, Regular exercise, Stress management","Using Pippali, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3869,Dry Cough,"body ache, diarrhea, fever, frequent urination, loss of appetite, sore throat","Haritaki, Pippali, Shatavari, Tulsi","Avoid cold food, Light and warm diet","Balanced diet, Regular exercise","Using Haritaki, Pippali, Shatavari, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
4201,Early Hypotension,"dizziness, frequent urination, joint pain","Arjuna, Ginger, Punarnava","Avoid spicy food, Do not overexert","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Arjuna, Ginger, Punarnava, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
202,Joint Inflammation,"abdominal pain, insomnia, productive cough","Amla, Guduchi, Shatavari, Tulsi","Avoid oily food, Avoid stress, Maintain hydration","Daily yoga practice, Seasonal immunity support","Using Amla, Guduchi, Shatavari, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
2498,Mild Hypertension,"anxiety, back pain, fatigue, vomiting","Amla, Haritaki, Punarnava, Shatavari","Avoid alcohol, Avoid oily food, Avoid stress","Balanced diet, Regular exercise, Stress management","Using Amla, Haritaki, Punarnava, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
1843,Seasonal Allergy,"chest discomfort, insomnia, low energy, shortness of breath, skin rash, vomiting","Amla, Gokshura, Guduchi, Pippali","Avoid cold food, Avoid oily food, Avoid spicy food","Adequate sleep routine, Seasonal immunity support, Stress management","Using Amla, Gokshura, Guduchi, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1867,Gastritis,"abdominal pain, back pain, chest discomfort, constipation, low energy","Haritaki, Pippali, Shatavari","Avoid oily food, Avoid stress, Do not overexert","Daily yoga practice, Herbal immune boosters, Regular exercise","Using Haritaki, Pippali, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
1997,Irritable Bowel Syndrome,"dry cough, fever, frequent urination, loss of appetite","Gokshura, Manjistha, Tulsi","Avoid spicy food, Do not overexert, Maintain hydration","Adequate sleep routine, Stress management","Using Gokshura, Manjistha, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
910,Osteoarthritis,"constipation, dizziness, fatigue, insomnia, low energy, sore throat","Bibhitaki, Guduchi, Manjistha","Avoid cold food, Do not overexert, Maintain hydration","Balanced diet, Seasonal immunity support","Using Bibhitaki, Guduchi, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4306,Urinary Tract Infection,"body ache, dizziness, headache","Ashwagandha, Guduchi, Punarnava, Turmeric","Do not overexert, Light and warm diet","Balanced diet, Regular exercise","Using Ashwagandha, Guduchi, Punarnava, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4659,Seasonal Allergy,"abdominal pain, back pain, frequent urination, loss of appetite, low energy, shortness of breath","Gokshura, Pippali","Avoid cold food, Avoid oily food, Avoid spicy food","Balanced diet, Daily yoga practice, Herbal immune boosters","Using Gokshura, Pippali, Make a light decoction from the herbs and consume warm, preferably after food."
3190,Eczema,"abdominal pain, dry cough, joint pain, nausea","Brahmi, Guduchi, Neem, Shatavari","Avoid cold food, Ensure adequate sleep","Balanced diet, Seasonal immunity support, Stress management","Using Brahmi, Guduchi, Neem, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
771,Anemia,"dizziness, fatigue, itching, nausea, productive cough, skin rash","Brahmi, Gokshura","Avoid oily food, Avoid stress, Light and warm diet","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Brahmi, Gokshura, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3156,Lower Back Pain,"abdominal pain, constipation, diarrhea, loss of appetite","Bibhitaki, Brahmi, Neem, Shatavari","Avoid cold food, Avoid spicy food","Regular exercise, Seasonal immunity support, Stress management","Using Bibhitaki, Brahmi, Neem, Shatavari, Boil herbs in water, strain well, and drink fresh for symptom relief."
2502,Type 2 Diabetes (Early Stage),"fatigue, fever, low energy, productive cough, shortness of breath, sore throat","Shatavari, Tulsi","Avoid oily food, Ensure adequate sleep, Light and warm diet","Herbal immune boosters, Regular exercise, Seasonal immunity support","Using Shatavari, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
2715,Vertigo,"headache, insomnia, joint pain, low energy, muscle pain, skin rash","Amla, Ashwagandha, Manjistha, Shatavari","Avoid alcohol, Avoid stress, Maintain hydration","Adequate sleep routine, Stress management","Using Amla, Ashwagandha, Manjistha, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
4725,Allergic Rhinitis,"anxiety, chest discomfort, dry cough, shortness of breath","Gokshura, Pippali","Avoid oily food, Light and warm diet","Regular exercise, Stress management","Using Gokshura, Pippali, Make a light decoction from the herbs and consume warm, preferably after food."
3586,Bacterial Skin Infection,"abdominal pain, diarrhea, frequent urination, muscle pain","Ginger, Pippali, Tulsi","Avoid alcohol, Avoid cold food, Avoid oily food","Balanced diet, Daily yoga practice","Using Ginger, Pippali, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1629,Sleep Disturbance Disorder,"diarrhea, low energy, skin rash, vomiting","Amla, Ashwagandha, Neem, Tulsi","Avoid cold food, Avoid oily food","Balanced diet, Herbal immune boosters, Seasonal immunity support","Using Amla, Ashwagandha, Neem, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
387,Productive Cough,"back pain, body ache, chest discomfort, fatigue, sore throat","Arjuna, Ginger, Punarnava, Tulsi","Avoid oily food, Avoid spicy food, Do not overexert","Daily yoga practice, Herbal immune boosters","Using Arjuna, Ginger, Punarnava, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3422,Hypothyroidism (Mild),"abdominal pain, anxiety, body ache, dry cough, fatigue, joint pain","Arjuna, Ginger","Avoid stress, Maintain hydration","Balanced diet, Herbal immune boosters, Regular exercise","Using Arjuna, Ginger, Boil herbs in water, strain well, and drink fresh for symptom relief."
4009,Lower Back Pain,"body ache, frequent urination, itching, joint pain, sore throat","Bibhitaki, Brahmi, Haritaki, Tulsi","Ensure adequate sleep, Maintain hydration","Daily yoga practice, Seasonal immunity support, Stress management","Using Bibhitaki, Brahmi, Haritaki, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
4094,Tinnitus (Early Stage),"abdominal pain, dizziness, frequent urination, insomnia","Amla, Pippali, Turmeric","Avoid stress, Ensure adequate sleep","Daily yoga practice, Regular exercise, Stress management","Using Amla, Pippali, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
4364,Type 2 Diabetes (Early Stage),"diarrhea, frequent urination, itching, low energy, productive cough, skin rash","Amla, Ashwagandha, Guduchi, Manjistha","Avoid cold food, Avoid stress, Maintain hydration","Daily yoga practice, Stress management","Using Amla, Ashwagandha, Guduchi, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
2467,Mild Hypertension,"fatigue, frequent urination, joint pain, muscle pain, nausea","Brahmi, Pippali","Avoid spicy food, Do not overexert, Maintain hydration","Regular exercise, Seasonal immunity support","Using Brahmi, Pippali, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2283,Tension Headache,"body ache, constipation, fatigue, headache, muscle pain, sore throat","Neem, Tulsi, Turmeric","Avoid oily food, Avoid spicy food, Do not overexert","Regular exercise, Seasonal immunity support","Using Neem, Tulsi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1857,Vitamin B12 Deficiency,"dry cough, fever, insomnia, nausea, skin rash, vomiting","Neem, Tulsi","Avoid stress, Do not overexert","Balanced diet, Regular exercise, Seasonal immunity support","Using Neem, Tulsi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1999,Viral Fever,"abdominal pain, chest discomfort, diarrhea, frequent urination, loss of appetite, skin rash","Amla, Arjuna, Haritaki, Punarnava","Avoid cold food, Avoid oily food","Daily yoga practice, Regular exercise, Seasonal immunity support","Using Amla, Arjuna, Haritaki, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1237,Rheumatoid Arthritis,"burning sensation, skin rash, vomiting","Amla, Arjuna, Bibhitaki, Haritaki","Avoid alcohol, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters","Using Amla, Arjuna, Bibhitaki, Haritaki, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4670,Seasonal Allergy,"abdominal pain, dizziness, shortness of breath, skin rash","Amla, Arjuna, Guduchi, Tulsi","Avoid cold food, Ensure adequate sleep","Daily yoga practice, Herbal immune boosters","Using Amla, Arjuna, Guduchi, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4145,Constipation Disorder,"burning sensation, headache, muscle pain, nausea","Arjuna, Haritaki, Manjistha, Pippali","Avoid spicy food, Ensure adequate sleep, Light and warm diet","Herbal immune boosters, Regular exercise","Using Arjuna, Haritaki, Manjistha, Pippali, Make a light decoction from the herbs and consume warm, preferably after food."
1151,Productive Cough,"anxiety, body ache, fever, headache, muscle pain, nausea","Bibhitaki, Guduchi, Haritaki, Tulsi","Do not overexert, Ensure adequate sleep","Regular exercise, Seasonal immunity support, Stress management","Using Bibhitaki, Guduchi, Haritaki, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4319,Vitamin D Deficiency,"constipation, diarrhea, loss of appetite, low energy","Ashwagandha, Gokshura, Haritaki","Avoid stress, Do not overexert, Ensure adequate sleep","Adequate sleep routine, Balanced diet","Using Ashwagandha, Gokshura, Haritaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1432,Fungal Skin Infection,"body ache, diarrhea, frequent urination, loss of appetite, nausea","Arjuna, Manjistha, Punarnava","Ensure adequate sleep, Light and warm diet","Balanced diet, Regular exercise","Using Arjuna, Manjistha, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1820,Tinnitus (Early Stage),"abdominal pain, chest discomfort, diarrhea, dry cough, nausea, productive cough","Neem, Tulsi","Avoid spicy food, Avoid stress, Maintain hydration","Adequate sleep routine, Balanced diet, Seasonal immunity support","Using Neem, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
2325,Rheumatoid Arthritis,"joint pain, nausea, vomiting","Arjuna, Bibhitaki, Manjistha","Avoid alcohol, Avoid oily food, Maintain hydration","Balanced diet, Herbal immune boosters","Using Arjuna, Bibhitaki, Manjistha, Make a light decoction from the herbs and consume warm, preferably after food."
1131,Eye Irritation,"body ache, chest discomfort, insomnia","Bibhitaki, Neem","Avoid cold food, Do not overexert","Adequate sleep routine, Regular exercise","Using Bibhitaki, Neem, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2659,Early Hypotension,"back pain, fatigue, fever, frequent urination, headache, low energy","Gokshura, Guduchi, Shatavari, Tulsi","Avoid spicy food, Light and warm diet","Herbal immune boosters, Regular exercise, Stress management","Using Gokshura, Guduchi, Shatavari, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3501,Seasonal Allergy,"abdominal pain, anxiety, constipation, loss of appetite","Ashwagandha, Brahmi, Guduchi, Tulsi","Avoid alcohol, Avoid cold food, Avoid spicy food","Adequate sleep routine, Balanced diet, Herbal immune boosters","Using Ashwagandha, Brahmi, Guduchi, Tulsi, Boil herbs in water, strain well, and drink fresh for symptom relief."
375,Thyroid Imbalance,"anxiety, burning sensation, fatigue, itching, joint pain","Gokshura, Guduchi, Turmeric","Avoid oily food, Ensure adequate sleep","Regular exercise, Seasonal immunity support","Using Gokshura, Guduchi, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
2121,Mild Hypertension,"anxiety, back pain, diarrhea, joint pain, skin rash","Amla, Haritaki","Avoid alcohol, Ensure adequate sleep","Herbal immune boosters, Regular exercise, Stress management","Using Amla, Haritaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
4021,Rheumatoid Arthritis,"back pain, body ache, chest discomfort, fever, nausea, shortness of breath","Brahmi, Tulsi","Avoid spicy food, Avoid stress","Regular exercise, Stress management","Using Brahmi, Tulsi, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
2022,Dry Eye Syndrome,"burning sensation, constipation, vomiting","Ashwagandha, Haritaki","Avoid alcohol, Do not overexert, Maintain hydration","Daily yoga practice, Stress management","Using Ashwagandha, Haritaki, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3706,Ear Infection (Mild),"abdominal pain, anxiety, back pain, diarrhea, frequent urination","Brahmi, Ginger, Punarnava","Do not overexert, Ensure adequate sleep","Daily yoga practice, Regular exercise","Using Brahmi, Ginger, Punarnava, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3260,Food Poisoning,"constipation, dry cough, fatigue, muscle pain, skin rash","Amla, Manjistha, Neem, Pippali","Avoid oily food, Avoid stress, Maintain hydration","Balanced diet, Daily yoga practice","Using Amla, Manjistha, Neem, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3436,Type 2 Diabetes (Early Stage),"dry cough, low energy, muscle pain, vomiting","Arjuna, Neem, Punarnava","Avoid alcohol, Avoid oily food, Avoid spicy food","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Arjuna, Neem, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
1890,Stress-Induced Insomnia,"burning sensation, constipation, dizziness, productive cough","Haritaki, Neem, Tulsi, Turmeric","Avoid spicy food, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Haritaki, Neem, Tulsi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1824,Mild Asthma,"anxiety, constipation, dizziness, frequent urination, loss of appetite","Amla, Brahmi, Punarnava, Tulsi","Avoid alcohol, Ensure adequate sleep","Adequate sleep routine, Balanced diet, Daily yoga practice","Using Amla, Brahmi, Punarnava, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
1475,Tinnitus (Early Stage),"body ache, chest discomfort, headache, sore throat","Guduchi, Turmeric","Avoid spicy food, Light and warm diet, Maintain hydration","Adequate sleep routine, Herbal immune boosters","Using Guduchi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2243,Irritable Bowel Syndrome,"burning sensation, dizziness, nausea, sore throat","Amla, Ginger, Pippali","Avoid alcohol, Avoid spicy food, Do not overexert","Adequate sleep routine, Regular exercise","Using Amla, Ginger, Pippali, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3244,Bacterial Fever,"constipation, diarrhea, dry cough, loss of appetite","Amla, Brahmi, Haritaki, Manjistha","Avoid stress, Maintain hydration","Adequate sleep routine, Daily yoga practice, Regular exercise","Using Amla, Brahmi, Haritaki, Manjistha, Boil herbs in water, strain well, and drink fresh for symptom relief."
3135,Gastritis,"back pain, burning sensation, dry cough, fatigue","Gokshura, Neem, Punarnava","Avoid alcohol, Avoid cold food, Avoid stress","Balanced diet, Seasonal immunity support, Stress management","Using Gokshura, Neem, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
2071,Vitamin D Deficiency,"abdominal pain, back pain, fatigue, fever","Bibhitaki, Gokshura, Haritaki, Turmeric","Avoid spicy food, Do not overexert, Ensure adequate sleep","Adequate sleep routine, Seasonal immunity support","Using Bibhitaki, Gokshura, Haritaki, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
360,Psoriasis,"chest discomfort, fatigue, fever, insomnia, skin rash, vomiting","Bibhitaki, Shatavari, Turmeric","Avoid cold food, Avoid spicy food","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Bibhitaki, Shatavari, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
2042,Osteoarthritis,"back pain, dry cough, headache, itching, loss of appetite, shortness of breath","Bibhitaki, Manjistha","Avoid cold food, Avoid spicy food, Avoid stress","Balanced diet, Herbal immune boosters, Stress management","Using Bibhitaki, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1142,Kidney Stone Disorder,"diarrhea, dry cough, fever, itching, joint pain, skin rash","Bibhitaki, Neem, Turmeric","Avoid oily food, Ensure adequate sleep, Maintain hydration","Balanced diet, Daily yoga practice, Stress management","Using Bibhitaki, Neem, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1636,Kidney Stone Disorder,"fever, muscle pain, productive cough","Pippali, Shatavari","Avoid spicy food, Avoid stress, Do not overexert","Daily yoga practice, Herbal immune boosters, Stress management","Using Pippali, Shatavari, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4001,Psoriasis,"back pain, constipation, nausea","Bibhitaki, Guduchi, Manjistha","Avoid stress, Do not overexert","Regular exercise, Seasonal immunity support","Using Bibhitaki, Guduchi, Manjistha, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1944,Diarrheal Disorder,"anxiety, chest discomfort, constipation, dry cough, low energy, vomiting","Guduchi, Haritaki, Manjistha, Punarnava","Avoid cold food, Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Herbal immune boosters, Regular exercise","Using Guduchi, Haritaki, Manjistha, Punarnava, Boil herbs in water, strain well, and drink fresh for symptom relief."
4775,Mild Asthma,"abdominal pain, anxiety, body ache, itching","Guduchi, Tulsi","Avoid cold food, Avoid oily food, Do not overexert","Daily yoga practice, Herbal immune boosters, Seasonal immunity support","Using Guduchi, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3362,Vitamin B12 Deficiency,"itching, joint pain, loss of appetite","Ginger, Gokshura, Neem","Avoid oily food, Light and warm diet","Daily yoga practice, Stress management","Using Ginger, Gokshura, Neem, Make a light decoction from the herbs and consume warm, preferably after food."
2981,Productive Cough,"burning sensation, diarrhea, frequent urination, insomnia, low energy","Bibhitaki, Brahmi, Pippali","Avoid cold food, Avoid spicy food","Balanced diet, Daily yoga practice, Stress management","Using Bibhitaki, Brahmi, Pippali, Make a light decoction from the herbs and consume warm, preferably after food."
7,Vertigo,"dizziness, dry cough, shortness of breath, sore throat","Ashwagandha, Brahmi","Light and warm diet, Maintain hydration","Adequate sleep routine, Daily yoga practice, Stress management","Using Ashwagandha, Brahmi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3268,Vitamin B12 Deficiency,"back pain, diarrhea, headache, itching","Ashwagandha, Manjistha, Neem, Pippali","Avoid alcohol, Avoid cold food","Balanced diet, Regular exercise, Seasonal immunity support","Using Ashwagandha, Manjistha, Neem, Pippali, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1592,Loss of Appetite,"abdominal pain, body ache, nausea","Bibhitaki, Brahmi","Avoid alcohol, Avoid spicy food, Light and warm diet","Adequate sleep routine, Balanced diet, Regular exercise","Using Bibhitaki, Brahmi, Make a light decoction from the herbs and consume warm, preferably after food."
4929,Sinusitis,"fever, itching, productive cough, shortness of breath","Amla, Brahmi, Gokshura, Turmeric","Avoid oily food, Avoid spicy food, Avoid stress","Adequate sleep routine, Regular exercise, Stress management","Using Amla, Brahmi, Gokshura, Turmeric, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
3265,Migraine,"abdominal pain, loss of appetite, sore throat","Guduchi, Shatavari, Tulsi","Avoid cold food, Avoid spicy food, Do not overexert","Adequate sleep routine, Daily yoga practice, Herbal immune boosters","Using Guduchi, Shatavari, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
2607,Mild Hypertension,"anxiety, burning sensation, itching, loss of appetite","Ashwagandha, Gokshura, Turmeric","Avoid stress, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Ashwagandha, Gokshura, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
3220,Tinnitus (Early Stage),"chest discomfort, diarrhea, frequent urination, loss of appetite","Guduchi, Tulsi, Turmeric","Avoid stress, Light and warm diet","Regular exercise, Stress management","Using Guduchi, Tulsi, Turmeric, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3274,Constipation Disorder,"body ache, diarrhea, fatigue, joint pain, nausea, shortness of breath","Manjistha, Pippali, Punarnava","Avoid oily food, Ensure adequate sleep","Regular exercise, Seasonal immunity support, Stress management","Using Manjistha, Pippali, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
914,Heat Exhaustion,"constipation, diarrhea, insomnia, loss of appetite, nausea, shortness of breath","Arjuna, Ashwagandha, Pippali","Avoid cold food, Avoid spicy food","Adequate sleep routine, Regular exercise","Using Arjuna, Ashwagandha, Pippali, Boil herbs in water, strain well, and drink fresh for symptom relief."
2012,Generalized Fatigue Syndrome,"body ache, diarrhea, frequent urination, headache, productive cough","Gokshura, Guduchi","Avoid alcohol, Avoid cold food, Ensure adequate sleep","Daily yoga practice, Herbal immune boosters, Stress management","Using Gokshura, Guduchi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1443,Food Poisoning,"anxiety, insomnia, productive cough","Gokshura, Guduchi","Avoid spicy food, Avoid stress","Adequate sleep routine, Daily yoga practice","Using Gokshura, Guduchi, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3055,Osteoarthritis,"constipation, itching, sore throat","Arjuna, Ashwagandha, Gokshura, Manjistha","Avoid stress, Do not overexert, Maintain hydration","Adequate sleep routine, Balanced diet, Seasonal immunity support","Using Arjuna, Ashwagandha, Gokshura, Manjistha, Boil herbs in water, strain well, and drink fresh for symptom relief."
3547,Common Cold,"anxiety, constipation, fever","Amla, Brahmi, Manjistha, Turmeric","Avoid cold food, Avoid stress, Ensure adequate sleep","Adequate sleep routine, Herbal immune boosters","Using Amla, Brahmi, Manjistha, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4222,Acid Reflux,"anxiety, body ache, headache, joint pain","Gokshura, Neem, Punarnava, Turmeric","Avoid cold food, Avoid spicy food, Light and warm diet","Daily yoga practice, Seasonal immunity support","Using Gokshura, Neem, Punarnava, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
4913,Mild Hypertension,"body ache, itching, low energy","Arjuna, Gokshura, Tulsi","Avoid oily food, Avoid stress, Light and warm diet","Adequate sleep routine, Balanced diet","Using Arjuna, Gokshura, Tulsi, Make a light decoction from the herbs and consume warm, preferably after food."
2929,Bronchitis,"abdominal pain, body ache, itching, productive cough, shortness of breath","Amla, Bibhitaki","Avoid spicy food, Ensure adequate sleep","Herbal immune boosters, Seasonal immunity support","Using Amla, Bibhitaki, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
1830,Stress-Induced Insomnia,"back pain, joint pain, productive cough","Brahmi, Haritaki, Manjistha","Avoid stress, Ensure adequate sleep","Regular exercise, Stress management","Using Brahmi, Haritaki, Manjistha, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
576,Dry Cough,"body ache, diarrhea, itching, nausea, shortness of breath, sore throat","Ashwagandha, Ginger, Gokshura, Guduchi","Avoid cold food, Avoid stress","Herbal immune boosters, Regular exercise","Using Ashwagandha, Ginger, Gokshura, Guduchi, Boil herbs in water, strain well, and drink fresh for symptom relief."
930,Vitamin D Deficiency,"frequent urination, nausea, shortness of breath, vomiting","Guduchi, Haritaki, Tulsi","Avoid oily food, Avoid spicy food, Light and warm diet","Adequate sleep routine, Herbal immune boosters, Seasonal immunity support","Using Guduchi, Haritaki, Tulsi, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3760,Diarrheal Disorder,"body ache, chest discomfort, frequent urination, headache, shortness of breath","Arjuna, Ginger, Gokshura","Avoid stress, Ensure adequate sleep, Light and warm diet","Balanced diet, Herbal immune boosters, Stress management","Using Arjuna, Ginger, Gokshura, Boil herbs in water, strain well, and drink fresh for symptom relief."
3700,Type 2 Diabetes (Early Stage),"diarrhea, fever, headache, loss of appetite, muscle pain, sore throat","Guduchi, Manjistha, Shatavari","Avoid oily food, Ensure adequate sleep, Maintain hydration","Adequate sleep routine, Herbal immune boosters","Using Guduchi, Manjistha, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
1464,Acid Reflux,"body ache, constipation, diarrhea, dizziness, frequent urination, vomiting","Bibhitaki, Punarnava","Avoid stress, Maintain hydration","Regular exercise, Seasonal immunity support","Using Bibhitaki, Punarnava, Simmer the herbs gently in water, filter, and take once or twice daily as needed."
3276,Dry Cough,"burning sensation, chest discomfort, muscle pain, productive cough, vomiting","Amla, Ashwagandha","Avoid alcohol, Avoid oily food, Light and warm diet","Adequate sleep routine, Balanced diet, Stress management","Using Amla, Ashwagandha, Boil herbs in water, strain well, and drink fresh for symptom relief."
4929,Sinusitis,"fever, itching, productive cough, shortness of breath","Amla, Brahmi, Gokshura, Turmeric","Avoid oily food, Avoid spicy food, Avoid stress","Adequate sleep routine, Regular exercise, Stress management","Using Amla, Brahmi, Gokshura, Turmeric, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
1055,Mild Hypertension,"body ache, fever, frequent urination, headache, joint pain, low energy","Arjuna, Guduchi, Manjistha, Shatavari","Avoid cold food, Light and warm diet","Balanced diet, Herbal immune boosters, Regular exercise","Using Arjuna, Guduchi, Manjistha, Shatavari, Make a light decoction from the herbs and consume warm, preferably after food."
1901,Migraine,"fever, joint pain, loss of appetite","Haritaki, Manjistha, Shatavari","Avoid stress, Maintain hydration","Balanced diet, Daily yoga practice, Regular exercise","Using Haritaki, Manjistha, Shatavari, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
1458,Skin Allergy,"body ache, fatigue, fever, shortness of breath, vomiting","Arjuna, Turmeric","Avoid cold food, Avoid stress","Adequate sleep routine, Stress management","Using Arjuna, Turmeric, Make a light decoction from the herbs and consume warm, preferably after food."
1400,Bronchitis,"back pain, body ache, burning sensation, chest discomfort, productive cough, sore throat","Amla, Bibhitaki, Ginger, Haritaki","Light and warm diet, Maintain hydration","Regular exercise, Seasonal immunity support, Stress management","Using Amla, Bibhitaki, Ginger, Haritaki, Boil the listed herbs in water for 15 minutes. Strain and drink warm once daily after meals."
3416,Rheumatoid Arthritis,"anxiety, frequent urination, headache, loss of appetite, vomiting","Brahmi, Gokshura","Avoid alcohol, Avoid cold food","Balanced diet, Daily yoga practice, Herbal immune boosters","Using Brahmi, Gokshura, Prepare a mild herbal decoction using the mentioned herbs. Consume warm in the morning."
443,Tinnitus (Early Stage),"diarrhea, dizziness, frequent urination, itching, productive cough","Ginger, Punarnava, Turmeric","Avoid stress, Light and warm diet, Maintain hydration","Daily yoga practice, Herbal immune boosters","Using Ginger, Punarnava, Turmeric, Boil herbs in water, strain well, and drink fresh for symptom relief."
3651,Allergic Rhinitis,"back pain, body ache, burning sensation, productive cough, skin rash","Amla, Ashwagandha, Punarnava","Avoid cold food, Avoid oily food, Ensure adequate sleep","Daily yoga practice, Regular exercise, Stress management","Using Amla, Ashwagandha, Punarnava, Make a light decoction from the herbs and consume warm, preferably after food."
